t	x0	y0	x1	y1	x2	y2
108	-1.269665	0.407907	-0.447107	-0.408278	0.077525	-0.220536
109	-1.283302	0.407569	-0.449740	-0.404767	0.073097	-0.215945
110	-1.296769	0.407313	-0.452419	-0.401270	0.068628	-0.211361
111	-1.310065	0.407149	-0.455146	-0.397787	0.064119	-0.206786
112	-1.323190	0.407085	-0.457918	-0.394320	0.059571	-0.202222
113	-1.336146	0.407128	-0.460736	-0.390869	0.054984	-0.197669
114	-1.348933	0.407285	-0.463598	-0.387434	0.050359	-0.193128
115	-1.361554	0.407559	-0.466504	-0.384017	0.045698	-0.188600
116	-1.374009	0.407954	-0.469452	-0.380617	0.041000	-0.184085
117	-1.386302	0.408473	-0.472441	-0.377236	0.036268	-0.179585
118	-1.398435	0.409117	-0.475472	-0.373872	0.031502	-0.175100
119	-1.410411	0.409889	-0.478542	-0.370528	0.026703	-0.170630
120	-1.422232	0.410787	-0.481651	-0.367203	0.021872	-0.166176
121	-1.433903	0.411813	-0.484797	-0.363897	0.017010	-0.161738
122	-1.445426	0.412966	-0.487981	-0.360611	0.012117	-0.157316
123	-1.456805	0.414245	-0.491199	-0.357345	0.007196	-0.152912
124	-1.468042	0.415648	-0.494452	-0.354099	0.002246	-0.148525
125	-1.479142	0.417174	-0.497737	-0.350875	-0.002731	-0.144155
126	-1.490108	0.418821	-0.501055	-0.347672	-0.007734	-0.139803
127	-1.500943	0.420586	-0.504403	-0.344490	-0.012763	-0.135469
128	-1.511651	0.422467	-0.507780	-0.341331	-0.017817	-0.131152
129	-1.522234	0.424461	-0.511185	-0.338194	-0.022894	-0.126854
130	-1.532697	0.426565	-0.514616	-0.335080	-0.027995	-0.122574
131	-1.543043	0.428777	-0.518072	-0.331990	-0.033117	-0.118312
132	-1.553274	0.431092	-0.521551	-0.328925	-0.038261	-0.114069
133	-1.563395	0.433509	-0.525052	-0.325884	-0.043426	-0.109844
134	-1.573407	0.436023	-0.528573	-0.322869	-0.048610	-0.105638
135	-1.583315	0.438632	-0.532112	-0.319881	-0.053813	-0.101451
136	-1.593122	0.441331	-0.535668	-0.316920	-0.059034	-0.097282
137	-1.602829	0.444118	-0.539238	-0.313987	-0.064274	-0.093132
138	-1.612441	0.446989	-0.542821	-0.311084	-0.069529	-0.089002
139	-1.621959	0.449940	-0.546415	-0.308212	-0.074801	-0.084890
140	-1.631388	0.452968	-0.550018	-0.305371	-0.080089	-0.080798
141	-1.640728	0.456071	-0.553627	-0.302562	-0.085391	-0.076725
142	-1.649983	0.459243	-0.557241	-0.299788	-0.090708	-0.072671
143	-1.659155	0.462483	-0.560858	-0.297050	-0.096038	-0.068637
144	-1.668247	0.465786	-0.564474	-0.294348	-0.101380	-0.064624
145	-1.677261	0.469149	-0.568089	-0.291684	-0.106735	-0.060630
146	-1.686200	0.472570	-0.571699	-0.289060	-0.112102	-0.056657
147	-1.695064	0.476044	-0.575302	-0.286477	-0.117480	-0.052704
148	-1.703858	0.479569	-0.578896	-0.283938	-0.122867	-0.048772
149	-1.712582	0.483142	-0.582479	-0.281442	-0.128265	-0.044862
150	-1.721238	0.486759	-0.586048	-0.278993	-0.133672	-0.040973
151	-1.729829	0.490417	-0.589601	-0.276591	-0.139087	-0.037106
152	-1.738356	0.494114	-0.593135	-0.274239	-0.144511	-0.033262
153	-1.746822	0.497847	-0.596649	-0.271938	-0.149942	-0.029440
154	-1.755227	0.501613	-0.600139	-0.269689	-0.155379	-0.025642
155	-1.763574	0.505409	-0.603605	-0.267494	-0.160823	-0.021868
156	-1.771864	0.509232	-0.607044	-0.265354	-0.166272	-0.018118
157	-1.780098	0.513080	-0.610454	-0.263271	-0.171726	-0.014393
