t	x0	y0	x1	y1	x2	y2
188	3.128362	3.061091	-3.647837	-3.723057	1.004497	4.136712
189	3.145560	3.079235	-3.665704	-3.740543	1.008051	4.161458
190	3.162758	3.097380	-3.683572	-3.758029	1.011606	4.186205
191	3.179957	3.115525	-3.701439	-3.775515	1.015160	4.210951
192	3.197155	3.133669	-3.719306	-3.793001	1.018714	4.235697
193	3.214353	3.151814	-3.737174	-3.810487	1.022269	4.260443
194	3.231551	3.169958	-3.755041	-3.827973	1.025823	4.285189
195	3.248749	3.188103	-3.772908	-3.845459	1.029378	4.309935
196	3.265947	3.206248	-3.790776	-3.862944	1.032932	4.334681
197	3.283145	3.224392	-3.808643	-3.880430	1.036486	4.359427
198	3.300343	3.242537	-3.826511	-3.897916	1.040041	4.384173
199	3.317541	3.260681	-3.844378	-3.915402	1.043595	4.408919
200	3.334739	3.278826	-3.862245	-3.932888	1.047150	4.433665
201	3.351937	3.296971	-3.880113	-3.950374	1.050704	4.458411
202	3.369135	3.315115	-3.897980	-3.967860	1.054258	4.483157
203	3.386333	3.333260	-3.915848	-3.985346	1.057813	4.507903
204	3.403531	3.351404	-3.933715	-4.002832	1.061367	4.532649
205	3.420730	3.369549	-3.951582	-4.020318	1.064922	4.557395
206	3.437928	3.387694	-3.969450	-4.037803	1.068476	4.582141
207	3.455126	3.405838	-3.987317	-4.055289	1.072030	4.606887
208	3.472324	3.423983	-4.005184	-4.072775	1.075585	4.631633
209	3.489522	3.442127	-4.023052	-4.090261	1.079139	4.656379
210	3.506720	3.460272	-4.040919	-4.107747	1.082694	4.681125
211	3.523918	3.478417	-4.058787	-4.125233	1.086248	4.705871
212	3.541116	3.496561	-4.076654	-4.142719	1.089802	4.730617
213	3.558314	3.514706	-4.094521	-4.160205	1.093357	4.755363
214	3.575512	3.532850	-4.112389	-4.177691	1.096911	4.780109
215	3.592710	3.550995	-4.130256	-4.195177	1.100466	4.804855
216	3.609908	3.569140	-4.148123	-4.212662	1.104020	4.829601
217	3.627106	3.587284	-4.165991	-4.230148	1.107574	4.854347
218	3.644304	3.605429	-4.183858	-4.247634	1.111129	4.879093
219	3.661503	3.623573	-4.201726	-4.265120	1.114683	4.903840
220	3.678701	3.641718	-4.219593	-4.282606	1.118238	4.928586
221	3.695899	3.659862	-4.237460	-4.300092	1.121792	4.953332
222	3.713097	3.678007	-4.255328	-4.317578	1.125347	4.978078
223	3.730295	3.696152	-4.273195	-4.335064	1.128901	5.002824
224	3.747493	3.714296	-4.291063	-4.352550	1.132455	5.027570
225	3.764691	3.732441	-4.308930	-4.370036	1.136010	5.052316
226	3.781889	3.750585	-4.326797	-4.387521	1.139564	5.077062
227	3.799087	3.768730	-4.344665	-4.405007	1.143119	5.101808
228	3.816285	3.786875	-4.362532	-4.422493	1.146673	5.126554
229	3.833483	3.805019	-4.380399	-4.439979	1.150227	5.151300
230	3.850681	3.823164	-4.398267	-4.457465	1.153782	5.176046
